season,franchise_id,franchise_name,franchise_abbrev,franchise_logo,franchise_icon,division_id,division_name,conference_id,conference_name
2020,0025,Hannover Eagles,HE,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_logo0025.gif,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_icon0025.gif,01,Buddy Ryan Division,00,RFC
2020,0026,Red Raiders,NA,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0026.png,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0026.png,02,Reggie White Division,01,BFC
2020,0027,Aachen Bandits,NA,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_logo0027.jpg,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_icon0027.jpg,04,Barry Sanders Division,00,RFC
2020,0028,German Cats,NA,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0028.jpg,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0028.png,01,Buddy Ryan Division,00,RFC
2020,0029,D-Block Busters,DBB,NA,https://www48.myfantasyleague.com/fflnetdynamic2019/63018_franchise_icon0029.jpg,05,Joe Montana Division,01,BFC
2020,0030,Higglystadt Patriots,HP,https://www45.myfantasyleague.com/fflnetdynamic2020/63018_franchise_logo0030.png,https://www45.myfantasyleague.com/fflnetdynamic2020/63018_franchise_icon0030.png,05,Joe Montana Division,01,BFC
2020,0031,German Swans,SWA,NA,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_icon0031.gif,02,Reggie White Division,01,BFC
2020,0032,Newtown Patriots,NA,https://www45.myfantasyleague.com/fflnetdynamic2020/63018_franchise_logo0032.jpg,https://www45.myfantasyleague.com/fflnetdynamic2020/63018_franchise_icon0032.jpg,01,Buddy Ryan Division,00,RFC
2020,0033,Auwald Woodpecker,NA,https://www48.myfantasyleague.com/fflnetdynamic2018/63018_franchise_logo0033.png,https://www48.myfantasyleague.com/fflnetdynamic2018/63018_franchise_icon0033.png,04,Barry Sanders Division,00,RFC
2020,0034,Fulda Jets,FDJ,https://www48.myfantasyleague.com/fflnetdynamic2018/63018_franchise_logo0034.png,https://www48.myfantasyleague.com/fflnetdynamic2018/63018_franchise_icon0034.png,03,Joe Namath Division,00,RFC
2020,0035,Güstrow Torros,GT,https://g.espncdn.com/lm-static/logo-packs/core/Mascots/mascots-1.svg,https://g.espncdn.com/lm-static/logo-packs/core/Mascots/mascots-1.svg,05,Joe Montana Division,01,BFC
2020,0036,Baratheon Boars,NA,NA,https://www48.myfantasyleague.com/fflnetdynamic2019/63018_franchise_icon0036.jpg,02,Reggie White Division,01,BFC
2021,0001,Dortmund Cardinals,DoCards,https://www45.myfantasyleague.com/fflnetdynamic2021/63018_franchise_logo0001.png,https://www45.myfantasyleague.com/fflnetdynamic2021/63018_franchise_icon0001.png,04,Barry Sanders Division,00,RFC
2021,0002,Wolftown Rocketeers,R-WT,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0002.jpg,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0002.png,04,Barry Sanders Division,00,RFC
2021,0003,CTU Los Angeles,CTU,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_logo0003.png,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_icon0003.png,00,Brett Favre Division,01,BFC
2021,0004,Cleve Crusader,CLE,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0004.gif,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0004.png,01,Buddy Ryan Division,00,RFC
2021,0005,G-Town Pandas,NA,https://www45.myfantasyleague.com/fflnetdynamic2021/63018_franchise_logo0005.png,https://www45.myfantasyleague.com/fflnetdynamic2021/63018_franchise_icon0005.png,04,Barry Sanders Division,00,RFC
2021,0006,Dexter Wolves,NA,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0006.png,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0006.jpg,02,Reggie White Division,00,RFC
2021,0007,Jena Dragons,JEN,https://www45.myfantasyleague.com/fflnetdynamic2021/63018_franchise_logo0007.jpg,https://www45.myfantasyleague.com/fflnetdynamic2021/63018_franchise_icon0007.jpg,00,Brett Favre Division,01,BFC
2021,0008,Dortmund Packers,DOP,https://www48.myfantasyleague.com/fflnetdynamic2018/63018_franchise_logo0008.jpg,https://www48.myfantasyleague.com/fflnetdynamic2018/63018_franchise_icon0008.jpg,00,Brett Favre Division,01,BFC
2021,0009,Syke Steelers,Syke,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_logo0009.jpg,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_icon0009.jpg,00,Brett Favre Division,01,BFC
2021,0010,Güstrow Racoons,NA,https://www45.myfantasyleague.com/fflnetdynamic2020/63018_franchise_logo0010.jpg,https://www45.myfantasyleague.com/fflnetdynamic2020/63018_franchise_icon0010.jpg,03,Joe Namath Division,01,BFC
2021,0011,Flens Pirates ,NA,https://www45.myfantasyleague.com/fflnetdynamic2021/63018_franchise_logo0011.jpg,https://www45.myfantasyleague.com/fflnetdynamic2021/63018_franchise_icon0011.jpg,00,Brett Favre Division,01,BFC
2021,0012,Wüterich Packers,NA,NA,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0012.jpg,00,Brett Favre Division,01,BFC
2021,0013,Cologne Thunderkittens,CTK,https://www48.myfantasyleague.com/fflnetdynamic2019/63018_franchise_logo0013.png,https://www48.myfantasyleague.com/fflnetdynamic2019/63018_franchise_icon0013.png,01,Buddy Ryan Division,00,RFC
2021,0014,Deevillage Moonwalkers,DMW,https://www45.myfantasyleague.com/fflnetdynamic2021/63018_franchise_logo0014.png,https://www45.myfantasyleague.com/fflnetdynamic2021/63018_franchise_icon0014.png,05,Joe Montana Division,01,BFC
2021,0015,Las Vegas Saints,LVS,https://www45.myfantasyleague.com/fflnet2020/newhelmets/nh-0215.png,https://www45.myfantasyleague.com/fflnet2020/newhelmets/nh-0215.png,02,Reggie White Division,00,RFC
2021,0016,Wichita´s Hall of Fame Squad,NA,NA,https://www45.myfantasyleague.com/fflnet2016/helmets/h-0001.gif,02,Reggie White Division,00,RFC
2021,0017,Nordic Wolves,WLVS,https://www45.myfantasyleague.com/fflnetdynamic2020/63018_franchise_logo0017.jpg,https://www45.myfantasyleague.com/fflnetdynamic2020/63018_franchise_icon0017.jpg,05,Joe Montana Division,01,BFC
2021,0018,Hintertupfingen Griffins,HTG,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0018.jpg,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0018.jpg,04,Barry Sanders Division,00,RFC
2021,0019,Dresden Jaguars,DDJ,https://www48.myfantasyleague.com/fflnetdynamic2019/63018_franchise_logo0019.png,https://www48.myfantasyleague.com/fflnetdynamic2019/63018_franchise_icon0019.png,03,Joe Namath Division,01,BFC
2021,0020,Dresden Cardinals ,NIM,https://www48.myfantasyleague.com/fflnetdynamic2019/63018_franchise_logo0020.jpg,https://www48.myfantasyleague.com/fflnetdynamic2019/63018_franchise_icon0020.jpg,05,Joe Montana Division,01,BFC
2021,0021,Munich Lions,MUC,https://www45.myfantasyleague.com/fflnetdynamic2021/63018_franchise_logo0021.png,https://www45.myfantasyleague.com/fflnetdynamic2021/63018_franchise_icon0021.png,01,Buddy Ryan Division,00,RFC
2021,0022,M-V Lightning,NA,https://www48.myfantasyleague.com/fflnetdynamic2018/63018_franchise_logo0022.jpg,https://www48.myfantasyleague.com/fflnetdynamic2018/63018_franchise_icon0022.jpg,03,Joe Namath Division,01,BFC
2021,0023,Berlin Bears,BER,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0023.png,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0023.png,03,Joe Namath Division,01,BFC
